mass_A
t x y
0.000000000E0 3.518782198E0 3.348938526E1
1.000000000E-2 3.981427726E0 3.315666863E1
2.000000000E-2 4.491991504E0 3.278575498E1
3.000000000E-2 5.001315384E0 3.238613322E1
4.000000000E-2 5.556747791E0 3.198480618E1
5.000000000E-2 6.102501996E0 3.154417156E1
6.000000000E-2 6.712649446E0 3.109836413E1
7.000000000E-2 7.330460526E0 3.065818244E1
8.000000000E-2 7.992949899E0 3.015557891E1
9.000000000E-2 8.638985608E0 2.966771556E1
1.000000000E-1 9.351336848E0 2.912915779E1
1.100000000E-1 1.010121302E1 2.857069240E1
1.200000000E-1 1.086090847E1 2.800781770E1
1.300000000E-1 1.166870562E1 2.742620950E1
1.400000000E-1 1.248002688E1 2.684189347E1
1.500000000E-1 1.335808514E1 2.622770606E1
1.600000000E-1 1.424249521E1 2.560420614E1
1.700000000E-1 1.513012997E1 2.498433936E1
1.800000000E-1 1.607683062E1 2.431203834E1
1.900000000E-1 1.708340599E1 2.361789096E1
2.000000000E-1 1.806055571E1 2.292925056E1
2.100000000E-1 1.905242633E1 2.228360425E1
2.200000000E-1 2.015488970E1 2.180499830E1
2.300000000E-1 2.120095081E1 2.078555635E1
2.400000000E-1 2.232089369E1 2.004711927E1
2.500000000E-1 2.346205930E1 1.931221795E1
2.600000000E-1 2.465089605E1 1.855968529E1
2.700000000E-1 2.582685944E1 1.783429982E1
2.800000000E-1 2.705881638E1 1.711357309E1
2.900000000E-1 2.830257457E1 1.639229918E1
3.000000000E-1 2.958667312E1 1.567198425E1
3.100000000E-1 3.090033148E1 1.497852049E1
3.200000000E-1 3.222735482E1 1.428812237E1
3.300000000E-1 3.358373512E1 1.359150251E1
3.400000000E-1 3.498846194E1 1.289847279E1
3.500000000E-1 3.639401535E1 1.223568937E1
3.600000000E-1 3.777849148E1 1.159433995E1
3.700000000E-1 3.921429666E1 1.124587552E1
3.800000000E-1 4.064394522E1 1.037646810E1
3.900000000E-1 4.210595308E1 9.790367040E0
4.000000000E-1 4.359852195E1 9.222287856E0
4.100000000E-1 4.511951863E1 8.670517704E0
4.200000000E-1 4.660754409E1 8.181783991E0
4.300000000E-1 4.814062550E1 7.676185612E0
4.400000000E-1 4.966793510E1 7.214965514E0
4.500000000E-1 5.124006909E1 6.727307021E0
4.600000000E-1 5.278261815E1 6.269360480E0
4.700000000E-1 5.436903117E1 5.841120822E0
4.800000000E-1 5.598528014E1 5.401542543E0
4.900000000E-1 5.752853706E1 5.061283742E0
5.000000000E-1 5.927607526E1 4.590384104E0
5.100000000E-1 6.085970312E1 4.229215788E0
5.200000000E-1 6.251941237E1 3.991828241E0
5.300000000E-1 6.418763007E1 3.843263395E0
5.400000000E-1 6.587412122E1 3.744380617E0
5.500000000E-1 6.755930398E1 3.722204380E0
5.600000000E-1 6.925510077E1 3.749739152E0
5.700000000E-1 7.092652369E1 3.851555682E0
5.800000000E-1 7.253808060E1 3.999553641E0
5.900000000E-1 7.418048895E1 4.175903184E0
6.000000000E-1 7.577426170E1 4.396820112E0
6.100000000E-1 7.730788588E1 4.989591582E0
6.200000000E-1 7.895976181E1 4.885059203E0
6.300000000E-1 8.056423768E1 5.151268360E0
6.400000000E-1 8.209558377E1 5.431109884E0
6.500000000E-1 8.356406570E1 5.735801569E0
6.600000000E-1 8.506642320E1 6.072915482E0
6.700000000E-1 8.650706278E1 6.402669347E0
6.800000000E-1 8.795391618E1 6.787878480E0
6.900000000E-1 8.936128248E1 7.182334751E0
7.000000000E-1 9.073811137E1 7.541319408E0
